score,hits,title,year,venue,doi,url,abstract
5,perception:2|control:1|robotics:2,Cooperative Lane Keeping Assist: Design and Evaluation of a V2V Lane Perception Sharing Approach,2025,Journal of Robotics and Control (JRC),10.18196/jrc.v6i5.26784,https://doi.org/10.18196/jrc.v6i5.26784,"Even autonomous vehicles are becoming very advanced. Adverse weather conditions, unclear lane markings, and unexpected obstacles can still pose challenges, especially to lane keeping assist systems. The performance of these systems varies between vehicles depending on sensor quality, environmental conditions, and data processing algorithms. A focused solution to improve lane keeping capability is vehicle-to-vehicle (V2V) communication. V2V enables vehicles to share real-time information on speed, position, direction, etc. In this paper, V2V is used specifically to share lane marking data from a front vehicle to a following vehicle. These data are fused with local perception using a confidence-weighted averaging method, where each lane position input is assigned a confidence score. When local perception degrades, such as during poor weather, this approach improves lane keeping by relying on the more reliable lane marking positions of the front vehicle. We validate our V2Venhanced LKA sy"
5,control:2|robotics:3,Corridor-based Adaptive Control Barrier &amp; Lyapunov Functions for Safe Mobile Robot Navigation,2025,2025 IEEE 64th Conference on Decision and Control (CDC),10.1109/cdc57313.2025.11312266,https://doi.org/10.1109/cdc57313.2025.11312266,
5,perception:3|control:1|robotics:1,EACNet: Efficient Asymmetric Cross-Modal RGB-D Semantic Segmentation Network for Indoor Robotic Perception,2025,2025 IEEE 14th Data Driven Control and Learning Systems (DDCLS),10.1109/ddcls66240.2025.11065774,https://doi.org/10.1109/ddcls66240.2025.11065774,
5,perception:2|control:1|robotics:2,Enhanced Perception and Control in Autonomous Robot Using Proximity-Based Fuzzy Logic Sensor Fusion,2025,SSRN Electronic Journal,10.2139/ssrn.5548161,https://doi.org/10.2139/ssrn.5548161,
5,perception:2|control:1|robotics:2,Enhanced Perception and Control in Autonomous Robot Using Proximity-based Fuzzy Logic Sensor Fusion,2025,SSRN Electronic Journal,10.2139/ssrn.5235920,https://doi.org/10.2139/ssrn.5235920,
5,control:3|robotics:2,Finite-Time Control Barrier Functions for Safety-Critical Control of Discrete Systems with Application to Robot Navigation,2025,"2025 14th International Conference on Control, Automation and Information Sciences (ICCAIS)",10.1109/iccais67508.2025.11262168,https://doi.org/10.1109/iccais67508.2025.11262168,
5,perception:3|control:1|robotics:1,Implementation of Joint Segmentation Semantic Understanding Method to Develop Autonomous Vehicle Driving Perception,2025,"2025 9th International Conference on Instrumentation, Control, and Automation (ICA)",10.1109/ica65945.2025.11252505,https://doi.org/10.1109/ica65945.2025.11252505,
5,perception:3|control:1|robotics:1,"Integrating LLM, Semantic Perception and Spatial Reasoning for Improved Robot Action Control",2025,Frontiers in Artificial Intelligence and Applications,10.3233/faia251449,https://doi.org/10.3233/faia251449,"Despite recent progress in integrating Large Language Models (LLMs) to enhance robotic capabilities, key challenges remain—particularly in interpreting perceptions, interacting with humans, and executing tasks in real-world environments. These challenges are largely due to LLM hallucinations and lack of formal semantic knowledge that hinder contextual understanding. To address this issue, we propose a semantic framework that combines an LLM and a commonsense knowledge graph to align the robot’s perceptions with a suitable task execution plan. The framework integrates pre-trained deep learning models for object detection, face identification, speech recognition, an LLM, and a local knowledge graph based on Resource Description Framework (RDF). The knowledge graph including scene and object description, as well spatial knowledge is used to select and execute the suitable task plan for the given context. Experimental results demonstrate the effectiveness of framework’s components in impro"
5,perception:1|control:2|robotics:2,Language-Guided Predictive Control: Synthesizing Semantic Safety Constraints for Adaptive Navigation,2025,2025 7th International Conference on Control and Robotics (ICCR),10.1109/iccr67607.2025.11372112,https://doi.org/10.1109/iccr67607.2025.11372112,
5,perception:1|control:3|robotics:1,Minimal order strongly stabilizing controller with maximal relative stability for two-link underactuated planar robot with single sensor,2025,Automatica,10.1016/j.automatica.2024.112087,https://doi.org/10.1016/j.automatica.2024.112087,
5,perception:1|control:2|robotics:2,Mobile Robot Motion Planning Based on a Concept of Attractive and Repulsive Forces and Variable Target and Robot Perception Circles,2025,"2025 11th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/codit66093.2025.11321509,https://doi.org/10.1109/codit66093.2025.11321509,
5,contracts:1|perception:1|control:1|robotics:2,Neural network-based intelligent perception guaranteed performance control for mechanical arm,2025,Robotics and Autonomous Systems,10.1016/j.robot.2025.104991,https://doi.org/10.1016/j.robot.2025.104991,
5,perception:2|control:1|robotics:2,Real-Time Detection of Mine-Like Objects for Semantic-Guided Underwater Robot Navigation,2025,2025 IEEE 8th International Conference on Methods and Systems of Navigation and Motion Control (MSNMC),10.1109/msnmc61130.2025.11399724,https://doi.org/10.1109/msnmc61130.2025.11399724,
5,control:3|robotics:2,Robust Control of Autonomous Robotic Vehicles Using Nonlinear Model Predictive Controller,2025,Advances in Robust Control and Applications,10.5772/intechopen.1008306,https://doi.org/10.5772/intechopen.1008306,"The proposed chapter will explore the application of robust control methods for electric connected autonomous robotic vehicles (EACVs) with a focus on robust control techniques. As the demand for autonomous mobility increases, ensuring their safety, reliability, and efficiency becomes paramount. This chapter will delve into the challenges and solutions associated with the robust control of EACVs, particularly under varying operational conditions that cause uncertainties. By leveraging robust and learning control strategies, the chapter aims to demonstrate how these methods can enhance the performance and resilience of EACVs. Key topics will include the integration of nonlinear control for trajectory following, handling disturbances and parameter variations, and ensuring system robustness. The chapter will also present case studies and simulations to illustrate the effectiveness of these control strategies in real-world scenarios. This comprehensive overview will provide valuable insigh"
5,perception:1|control:2|robotics:2,Self-Aware Risk Perception and Adaptive Safety Control for Autonomous Mining Trucks,2025,"2025 5th International Conference on Robotics, Automation, and Artificial Intelligence (RAAI)",10.1109/raai67517.2025.11423059,https://doi.org/10.1109/raai67517.2025.11423059,
5,perception:2|control:1|robotics:2,Sensorless Force/Motion Hybrid Control with Bilateral Force Perception in Heavy Legged Robot,2025,"2025 8th International Conference on Robotics, Control and Automation Engineering (RCAE)",10.1109/rcae66389.2025.11355350,https://doi.org/10.1109/rcae66389.2025.11355350,
5,control:2|robotics:3,UASI-PRECISE CONTROL OF AN AUTONOMOUS MOBILE ROBOT,2025,Measuring. Monitoring. Management. Control,10.21685/2307-5538-2025-2-7,https://doi.org/10.21685/2307-5538-2025-2-7,"Background. In modern production, optimization of production processes is becoming increasingly important. This article discusses the principles of path construction by an autonomous mobile robot, including in an environment with static and dynamic obstacles. Materials and methods. The research is based on the interaction of MES/APS systems (Manufacturing Execution System/Advanced Planning and Scheduling) in combination with IIoT (Industrial Internet of Things) and mobile robots. Results. An algorithm of relay control with an artificial dead zone and an algorithm of obstacle avoidance in a local environment based on quasi-fuzzy logic are proposed. Conclusions. The proposed intelligent control algorithms allow reducing the cost of a logistics project based on autonomous robots and abandoning a number of expensive software."
5,perception:2|control:2|robotics:1,A human–robot collaborative control method for flexible exoskeleton robots based on multimodal perception fusion,2026,AIP Advances,10.1063/5.0323726,https://doi.org/10.1063/5.0323726,"This paper proposes a multimodal perception-fusion-based control method for flexible exoskeleton robots to address challenges in human–robot collaboration and interaction accuracy. First, after analyzing the human–robot collaborative dynamics, the key control variables are calculated. Using these as a baseline, multimodal perception information is collected and preliminarily feature-extracted via sensor technology and lightweight deep learning models. Then, a deep learning architecture performs feature-level fusion of these multimodal signals to derive state vectors that reflect the lower-limb motion of the exoskeleton. Finally, a force-feedback-based impedance control principle combined with a proportional-integral-derivative (PID) scheme is adopted to design the controller, and the derived state vectors are used to adjust the controller parameters in real time, thereby achieving effective human–robot collaborative control. Experimental results show that when the proposed method is ap"
5,contracts:1|perception:1|control:2|robotics:1,Accessible teleoperation of tendon-driven continuum robot with an intuitive game controller interface,2026,International Journal of Advanced Robotic Systems,10.1177/17298806261419575,https://doi.org/10.1177/17298806261419575,"Tendon-driven continuum robots offer exceptional flexibility and slenderness, making them particularly suitable for inspection and maintenance in constrained and unstructured environments as well as robotic surgery. However, their control remains challenging due to nonlinear behavior, limited sensory feedback, and a significant kinematic dissimilarity from existing controllers. These challenges make continuum robots, similarly to endoscopes, their non-robotic counterparts, require a cost- and time-expensive training for users who operate them in such critical environments. This paper addresses this point by designing and implementing a custom, user-friendly control interface for a tendon-driven continuum robot, leveraging principles from both robotics and gaming to enhance intuitiveness and accessibility. After developing a custom graphical user interface, a prototype has been manufactured to evaluate system performance in a dedicated testing environment. Twelve participants have attem"
5,perception:1|control:1|robotics:3,Actor-Critic Based Reinforcement Learning For Continuous Control In Autonomous Robot Navigation,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518242,https://doi.org/10.1109/rpic68328.2026.11518242,
5,perception:2|control:2|robotics:1,Adaptive Feature Concatenation in YOLOv8n for Construction Site Safety Detection,2026,International Journal of Robotics and Control Systems,10.31763/ijrcs.v6i1.2485,https://doi.org/10.31763/ijrcs.v6i1.2485,"Monitoring Personal Protective Equipment (PPE) compliance is critical for construction safety, yet traditional lightweight detectors often struggle with severe occlusion and scale variations due to static feature fusion mechanisms. The main research contribution is the development of an enhanced YOLOv8n architecture integrating a novel Adaptive Feature Concatenation Module (AFCM) to address these limitations. Unlike standard concatenation, the proposed method employs AFCM in the neck network to dynamically recalibrate input features using learnable scalar weights normalized via Softmax. This mechanism allows the model to selectively emphasize semantically rich features while suppressing background noise without increasing channel dimensions. Experimental validation on the Construction Site Safety Image Dataset (CSSID) demonstrates that the model achieves an mAP@50:95 of 51.42%, surpassing the baseline YOLOv8n by 3.45%. Comparative analysis confirms that the proposed method outperforms "
5,perception:3|control:1|robotics:1,GW-SegNet: A Real-Time Semantic Segmentation Network for Autonomous Driving Integrating Frequency Perception and Geometric Priors,2026,2026 9th International Conference on Advanced Algorithms and Control Engineering (ICAACE),10.1109/icaace69793.2026.11509155,https://doi.org/10.1109/icaace69793.2026.11509155,
5,perception:1|control:3|robotics:1,Hierarchical Active Perception and Stability Control for Multi-Robot Collaborative Search in Unknown Environments,2026,Actuators,10.3390/act15040209,https://doi.org/10.3390/act15040209,"Multi-robot systems (MRS) have attracted a lot of attention from researchers due to their widespread application in various environments. However, in multi-robot collaborative search tasks, two problems often arise: sparse rewards for capturing targets and control oscillations. To address these issues, this paper proposes the hierarchical active perception multi-agent deep deterministic policy gradient (HAP-MADDPG) framework. This framework guides robots to efficiently explore maps and discover targets through global utility planning based on global exploration rate and local information aggregation based on local exploration rate. A stability control mechanism, which includes hysteresis logic and reward decay, is introduced to suppress control oscillations. Experimental results show that the HAP-MADDPG framework achieves a success rate of 96.25% and an average search time of 216.3 steps. The path trajectories are smooth, demonstrating the effectiveness of the proposed approach."
5,perception:2|control:1|robotics:2,High-Precision Trajectory Tracking of Humanoid Robot Legs Using PSO-Optimized Fuzzy PID Control,2026,2026 International Conference on Intelligent Perception and Autonomous Control (IPAC),10.1109/ipac69021.2026.11542952,https://doi.org/10.1109/ipac69021.2026.11542952,
5,contracts:1|control:2|robotics:2,Lyapunov-Barrier-Enabled Neural Control for Guaranteed Precision in Dual-Arm Robot Manipulation,2026,"International Journal of Control, Automation, and Systems",10.1007/s12555-026-00024-7,https://doi.org/10.1007/s12555-026-00024-7,
5,perception:1|control:2|robotics:2,Motion Planning Methods for a Mobile Manipulator in Underground Coal Mine Auxiliary Operations,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11517955,https://doi.org/10.1109/rpic68328.2026.11517955,
5,perception:1|control:3|robotics:1,Obstacle Avoidance Path Planning for AGV via Integration of Optimized A* and Adaptive MPC,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518069,https://doi.org/10.1109/rpic68328.2026.11518069,
5,perception:3|control:1|robotics:1,Underwater Object Tracking Method Based on Acousto - Optic Multi - Sensor Fusion,2026,2026 International Conference on Robot Perception and Intelligent Control (RPIC),10.1109/rpic68328.2026.11518491,https://doi.org/10.1109/rpic68328.2026.11518491,
5,perception:1|control:2|robotics:2,Unified T-S fuzzy-relaxed control barrier function framework for unicycle Mobile robot safe trajectory tracking,2026,ISA Transactions,10.1016/j.isatra.2026.02.025,https://doi.org/10.1016/j.isatra.2026.02.025,
5,perception:1|control:2|robotics:2,A Sensor-based Obstacle Avoidance Controller For A Mobile Robot Using Fuzzy Logic And Neural Network,None,Proceedings of the IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.1992.594576,https://doi.org/10.1109/iros.1992.594576,
5,perception:1|robotics:4,Semantic-assisted Autonomous Ground Robot Navigation in Unstructured Environments,None,,10.70675/96844d69ze98cz447ez91adz562d62dee8f4,https://doi.org/10.70675/96844d69ze98cz447ez91adz562d62dee8f4,"Navigation sémantique pour robot terrestre autonome en environnement non structuré Cette thèse porte sur la navigation autonome de robots terrestres dans des environnements non structurés et dépourvus de télécommunications. Afin d'employer des robots mobiles pour effectuer des tâches complexes telles que l'exploration planétaire ou des opérations de sauvetage, ils doivent bénéficier d'une autonomie complète, notamment pour leur navigation sans carte préalable. Les dernières avancées dans le domaine de l'apprentissage profond permettent l'extraction d'informations sémantiques à partir des données capteurs d'un robot. L'exploitation de ces informations, relatives à la nature des éléments de l'environnement du robot, est une piste prometteuse pour l'amélioration de la sécurité et de l'autonomie des systèmes de navigation. Leur intégration dans un processus de cartographie en ligne et l'exploitation de la représentation produite pour la planification de chemins sont abordées via la notion "
5,perception:1|control:3|robotics:1,Sensor Fusion and Non-linear MPC controller development studies for Intelligent Autonomous vehicular systems,None,,10.37099/mtu.dc.etdr/998,https://doi.org/10.37099/mtu.dc.etdr/998,
5,perception:2|control:1|robotics:2,Sensorimotor Control of Human Dynamic Behavior in Space Implemented into a Hominoid Robot,None,"Spatial Processing in Navigation, Imagery and Perception",10.1007/978-0-387-71978-8_16,https://doi.org/10.1007/978-0-387-71978-8_16,
4,perception:1|control:2|robotics:1,TRACKING CONTROLLER DESIGN FOR A ROBOTIC MANIPULATOR,1986,Control Science and Technology for Development,10.1016/b978-0-08-033473-8.50055-3,https://doi.org/10.1016/b978-0-08-033473-8.50055-3,
4,perception:1|control:2|robotics:1,8503664 System for coupling a visual sensor processor and a robot controller,1987,Robotics and Computer-Integrated Manufacturing,10.1016/0736-5845(87)90028-7,https://doi.org/10.1016/0736-5845(87)90028-7,
4,control:2|robotics:2,Pilot level of a hierarchical controller for an unmanned mobile robot,1988,IEEE Journal on Robotics and Automation,10.1109/56.785,https://doi.org/10.1109/56.785,
4,perception:1|control:2|robotics:1,Fuzzy controller for a sensor guided robot manipulator,1989,Fuzzy Sets and Systems,10.1016/0165-0114(89)90001-8,https://doi.org/10.1016/0165-0114(89)90001-8,
4,perception:2|control:1|robotics:1,Robot Perception Systems: Acoustics Vision Set-Up Control,1989,IFAC Proceedings Volumes,10.1016/s1474-6670(17)54415-8,https://doi.org/10.1016/s1474-6670(17)54415-8,
4,perception:1|control:1|robotics:2,SPATIAL UNCERTAINTY MANAGEMENT FOR A MOBILE ROBOT AND ITS ROLE IN EXPECTATION-BASED PERCEPTION,1989,Robot Control 1988 (Syroco '88),10.1016/b978-0-08-035742-3.50051-4,https://doi.org/10.1016/b978-0-08-035742-3.50051-4,
4,perception:2|control:1|robotics:1,Theory of edge perception for computer vision feedback control,1989,Journal of Intelligent and Robotic Systems,10.1007/bf00238685,https://doi.org/10.1007/bf00238685,
4,perception:1|control:2|robotics:1,A nominal adaptive controller for a robot manipulator,1990,Journal of Robotic Systems,10.1002/rob.4620070605,https://doi.org/10.1002/rob.4620070605,"Abstract This article derives an adaptive controller to achieve trajectory following for a robot manipulator. Lyapunov's second method is used for the design. The parameter, position, and velocity errors are shown to be uniformly bounded in the presence of an unknown bounded disturbance. To obtain insight for selecting the various control parameters for maintaining small tracking and parameter errors, we derive an error bound in terms of the system disturbances."
4,perception:1|control:2|robotics:1,Design of a Feedforward Controller for Trajectory Tracking Based on Steady State Error Analysis: Its Application to Robotic Joint Controller,1990,IFAC Proceedings Volumes,10.1016/s1474-6670(17)51724-3,https://doi.org/10.1016/s1474-6670(17)51724-3,
4,perception:2|control:1|robotics:1,ROBOT PERCEPTION SYSTEMS: ACOUSTICS VISION SET-UP CONTROL,1990,Advanced Information Processing in Automatic Control (AIPAC '89),10.1016/b978-0-08-037034-7.50079-1,https://doi.org/10.1016/b978-0-08-037034-7.50079-1,
4,perception:1|control:2|robotics:1,Vision-Based Robot Motion Planning,1991,Neural Networks for Control,10.7551/mitpress/4939.003.0015,https://doi.org/10.7551/mitpress/4939.003.0015,
4,control:2|robotics:2,A NEURAL CONTROLLER FOR MOBILE ROBOTS,1992,Robot Control 1991,10.1016/b978-0-08-041276-4.50051-0,https://doi.org/10.1016/b978-0-08-041276-4.50051-0,
4,perception:1|control:2|robotics:1,A new model-based tracking controller for robot manipulators using trajectory pattern inverse dynamics,1992,IEEE Transactions on Robotics and Automation,10.1109/70.134280,https://doi.org/10.1109/70.134280,
4,perception:1|control:2|robotics:1,Accuracy of finite dimensional dynamic models of flexible manipulators for controller design,1992,Journal of Robotic Systems,10.1002/rob.4620090303,https://doi.org/10.1002/rob.4620090303,"Abstract The dynamics of mechanical systems with distributed flexibility are described by infinite dimensional mathematical models, yet a real controller must be finite dimensional due to the limited bandwidth capabilities of the sensor‐actuator system and real‐time control computer hardware. Therefore, simplified finite dimensional dynamic models must be obtained for the purpose of controller design. This article addresses the issue of selecting the shape and number of mode functions in developing finite order models using a flexible robot arm as an example. The results of this work have consistently shown that the clamped‐free mode shape predicts the closed‐loop system dynamics under a feedback controller much more accurately than pinned‐free mode shapes. However, as the hub inertia increases relative to the flexible beam inertia the difference between the clamped‐free and pinned‐free mode shape model predictions becomes smaller."
4,perception:3|robotics:1,Scene Segmentation in the Framework of Active Perception,1992,Active Perception and Robot Vision,10.1007/978-3-642-77225-2_11,https://doi.org/10.1007/978-3-642-77225-2_11,
4,perception:2|robotics:2,Other Vision-based Robot Guidance Methods,1993,Neural Network Perception for Mobile Robot Guidance,10.1007/978-1-4615-3192-0_11,https://doi.org/10.1007/978-1-4615-3192-0_11,
4,perception:1|control:2|robotics:1,Proposal for a Pattern Matching Task Controller for Sensor-Based Coordination of Robot Motions,1993,Robots and Biological Systems: Towards a New Bionics?,10.1007/978-3-642-58069-7_24,https://doi.org/10.1007/978-3-642-58069-7_24,
4,perception:1|control:1|robotics:2,"SAVIC: A SIMULATION, VISUALIZATION AND INTERACTIVE CONTROL ENVIRONMENT FOR MOBILE ROBOTS",1993,Series in Machine Perception and Artificial Intelligence,10.1142/9789812797865_0008,https://doi.org/10.1142/9789812797865_0008,
4,perception:1|control:1|robotics:2,Fuzzy logic-based 'perception-action' behavior control of a mobile robot in uncertain environments,1994,Proceedings of 1994 IEEE 3rd International Fuzzy Systems Conference,10.1109/fuzzy.1994.343939,https://doi.org/10.1109/fuzzy.1994.343939,
4,control:3|robotics:1,Robustness analysis of a pd controller with approximate gravity compensation for robot manipulator control,1994,Journal of Robotic Systems,10.1002/rob.4620110606,https://doi.org/10.1002/rob.4620110606,"Abstract Asymptotically stable robot manipulator control in both joint space and Cartesian space can be achieved by using a PD controller with gravity torque compensation. However, the stability of this class of control law has not been analyzed with the use of estimated gravity torques. The objective of this article is to present such a stability proof assuming uncertainty in the gravity estimate. The proof is carried out for the Cartesian space controller. The result is supported by computer simulation. © 1994 John Wiley &amp; Sons, Inc."
4,perception:1|control:1|robotics:2,A DISTRIBUTED CONTROL ARCHITECTURE FOR AUTONOMOUS ROBOT SYSTEMS,1995,Series in Machine Perception and Artificial Intelligence,10.1142/9789812797773_0023,https://doi.org/10.1142/9789812797773_0023,
4,perception:1|control:2|robotics:1,Implementation of sensor-based control algorithms in an industrial robot controller,1995,Control Engineering Practice,10.1016/0967-0661(95)00131-d,https://doi.org/10.1016/0967-0661(95)00131-d,
4,contracts:1|control:2|robotics:1,ROBOT CONTROLLER. Two Classes of Robot Controller Communication Interface: External and Internal.,1996,Journal of the Robotics Society of Japan,10.7210/jrsj.14.784,https://doi.org/10.7210/jrsj.14.784,
4,perception:1|control:1|robotics:2,Application of Virtual Perception Memory to Control a Non-Holonomic Mobile Robot,1997,IFAC Proceedings Volumes,10.1016/s1474-6670(17)43313-1,https://doi.org/10.1016/s1474-6670(17)43313-1,
4,control:2|robotics:2,A Reactive Neuromorphic Controller for Local Robot Navigation,1998,Journal of Intelligent and Robotic Systems,10.1023/a:1008070512860,https://doi.org/10.1023/a:1008070512860,
4,perception:2|control:1|robotics:1,Binocular tracking: integrating perception and control,1999,IEEE Transactions on Robotics and Automation,10.1109/70.817671,https://doi.org/10.1109/70.817671,
4,perception:1|control:1|robotics:2,The CMUnited-97 robotic soccer team: Perception and multi-agent control,1999,Robotics and Autonomous Systems,10.1016/s0921-8890(99)00048-2,https://doi.org/10.1016/s0921-8890(99)00048-2,
4,perception:2|control:2,"Vision—An Essential Factor for Safety in Skiing: Perception, Reaction, and Motion Control Aspects",1999,Skiing Trauma and Safety: Twelfth Volume,10.1520/stp12353s,https://doi.org/10.1520/stp12353s,"Observation and perception errors in combination with lack of attention explain the majority of all falls in skiing. This associates vision and vision deficiencies with safety aspects in skiing. The purpose of this study was to determine the effect of reduced visual acuity on the reaction time of a skier in safety-critical skiing situations. For this purpose, field experiments were conducted in the 1995/96 winter season. The subjects had to pass over a prepared ledge in the terrain and react to simulated obstacles, which were partly blocking the course. All experiments were video recorded; in total more than 220 trials were conducted. We tested three different types of obstacles: ice patches, a standing skier, and a skier just starting to move. Two experimental conditions were examined, normal visual acuity and a reduced visual acuity. The acuity reduction to 20% of normal was achieved by the use of special goggles. From the videotape, the subjects' time for an evasive action was deter"
4,perception:1|control:2|robotics:1,Adaptive Tracking Controller for Rigid-Link Elastic-Joint Robots with Link Acceleration Estimation,2000,Journal of Intelligent and Robotic Systems,10.1023/a:1008198029642,https://doi.org/10.1023/a:1008198029642,
4,perception:1|control:2|robotics:1,Design of a Robust Adaptive Neural Tracking Controller,2000,Journal of Intelligent and Robotic Systems,10.1023/a:1008119010058,https://doi.org/10.1023/a:1008119010058,
4,contracts:1|control:2|robotics:1,1P1-G7 Development of Quardraped Robot Controller based on PC/AT : Robot controller using Universal Interface Board and non-RT Linux,2001,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2001.26_6,https://doi.org/10.1299/jsmermd.2001.26_6,
4,perception:1|control:2|robotics:1,An Adaptive Controller for Two Cooperating Flexible Manipulators,2002,Journal of Robotic Systems,10.1002/rob.10066,https://doi.org/10.1002/rob.10066,"Abstract The control problem for two serial flexible multilink robots which carry a common rigid payload is considered. An adaptive controller with feedback and feedforward elements is presented which can track a prescribed trajectory for the payload with simultaneous vibration suppression when the manipulated payload is sufficiently large. A free load‐sharing parameter appears in the passivity‐based control law which allows the torque requirement to be shared between the two arms in a largely arbitrary fashion. Simulation results using a complex model are given which demonstrate excellent tracking performance in the face of complete payload uncertainty. © 2003 Wiley Periodicals, Inc."
4,control:2|robotics:2,Mobile robot controller,2002,Industrial Robot: An International Journal,10.1108/ir.2002.04929cad.009,https://doi.org/10.1108/ir.2002.04929cad.009,
4,perception:1|control:1|robotics:2,Control and perception techniques for aerial robotics,2003,IFAC Proceedings Volumes,10.1016/s1474-6670(17)33366-9,https://doi.org/10.1016/s1474-6670(17)33366-9,
4,control:2|robotics:2,"Roboteq introduces smart dual channel, 240 A DC motor controller/driver for mobile robots",2003,Industrial Robot: An International Journal,10.1108/ir.2003.04930cad.002,https://doi.org/10.1108/ir.2003.04930cad.002,
4,perception:1|control:1|robotics:2,Control and perception techniques for aerial robotics,2004,Annual Reviews in Control,10.1016/j.arcontrol.2004.05.003,https://doi.org/10.1016/j.arcontrol.2004.05.003,
4,perception:2|control:1|robotics:1,Neural network based expectation learning in perception control: learning and control with unreliable sensory system,2004,Artificial Life and Robotics,10.1007/s10015-004-0302-z,https://doi.org/10.1007/s10015-004-0302-z,
4,perception:2|control:1|robotics:1,Neural network based expectation learning in perception control: learning and control with unreliable sensory system,2004,Artificial Life and Robotics,10.1007/bf02678883,https://doi.org/10.1007/bf02678883,
4,control:2|robotics:2,Real time controller for a nonholonomic mobile robot,2004,Proceedings of the Fourth International Workshop on Robot Motion and Control (IEEE Cat. No.04EX891),10.1109/romoco.2004.240587,https://doi.org/10.1109/romoco.2004.240587,
4,control:3|robotics:1,Robot Controller Design for Achieving Global Asymptotic Stability and Local Prescribed Performance,2004,IEEE Transactions on Robotics,10.1109/tro.2004.829477,https://doi.org/10.1109/tro.2004.829477,
4,perception:1|control:1|robotics:2,4. Intelligent Control of Mobile Robots with Fuzzy Perception,2005,Springer Tracts in Advanced Robotics,10.1007/10961704_4,https://doi.org/10.1007/10961704_4,
4,perception:1|control:2|robotics:1,A Neuro-Adaptive Controller for the Force/Position Tracking of a Robot Manipulator under Model Uncertainties in Compliance and Friction,2006,2006 14th Mediterranean Conference on Control and Automation,10.1109/med.2006.236130,https://doi.org/10.1109/med.2006.236130,
4,perception:1|control:2|robotics:1,A Neuro-Adaptive Controller for the Force/Position Tracking of a Robot Manipulator under Model Uncertainties in Compliance and Friction,2006,2006 14th Mediterranean Conference on Control and Automation,10.1109/med.2006.328804,https://doi.org/10.1109/med.2006.328804,
4,perception:2|control:1|robotics:1,A Novel Visual Perception Framework,2006,"2006 9th International Conference on Control, Automation, Robotics and Vision",10.1109/icarcv.2006.345359,https://doi.org/10.1109/icarcv.2006.345359,
4,control:2|robotics:2,Nonholonomic wheeled mobile robot positioning controller using decoupling and variable structure model reference adaptive control,2006,2006 American Control Conference,10.1109/acc.2006.1657359,https://doi.org/10.1109/acc.2006.1657359,
4,perception:1|control:1|robotics:2,Autonomous perception techniques for urban and industrial fire scenarios,2007,"2007 IEEE International Workshop on Safety, Security and Rescue Robotics",10.1109/ssrr.2007.4381262,https://doi.org/10.1109/ssrr.2007.4381262,
4,control:2|robotics:2,Controller design for human-robot interaction,2007,Autonomous Robots,10.1007/s10514-007-9054-7,https://doi.org/10.1007/s10514-007-9054-7,
4,perception:1|control:2|robotics:1,Hexapod Robot Locomotion using a Fuzzy Controller,2007,2007 International Workshop on Robotic and Sensors Environments,10.1109/rose.2007.4373969,https://doi.org/10.1109/rose.2007.4373969,
4,control:2|robotics:2,Object oriented network control of Wheeeler - the hyper mobile inspection robot,2007,"2007 IEEE International Workshop on Safety, Security and Rescue Robotics",10.1109/ssrr.2007.4381280,https://doi.org/10.1109/ssrr.2007.4381280,
4,perception:3|robotics:1,On Board Camera Perception and Tracking of Vehicles,2007,Robot Vision,10.5220/0002066600570066,https://doi.org/10.5220/0002066600570066,
4,contracts:1|perception:1|control:2,A modular Controller Area Network vision system using programmable interface controller,2008,2008 International Conference on Electronic Design,10.1109/iced.2008.4786719,https://doi.org/10.1109/iced.2008.4786719,
4,perception:1|control:2|robotics:1,Achievable safety of driverless ground vehicles,2008,"2008 10th International Conference on Control, Automation, Robotics and Vision",10.1109/icarcv.2008.4795572,https://doi.org/10.1109/icarcv.2008.4795572,
4,perception:2|control:1|robotics:1,Action/perception-oriented robot software design: An application in off-road terrain,2008,"2008 10th International Conference on Control, Automation, Robotics and Vision",10.1109/icarcv.2008.4795522,https://doi.org/10.1109/icarcv.2008.4795522,
4,control:1|robotics:3,An Immunological Approach to Mobile Robot Navigation,2008,Motion Planning,10.5772/6008,https://doi.org/10.5772/6008,
4,perception:1|control:2|robotics:1,Development of Kalman Hybrid Redundancy for Sensor Fault-Tolerant of Safety Critical System,2008,"Journal of Institute of Control, Robotics and Systems",10.5302/j.icros.2008.14.11.1180,https://doi.org/10.5302/j.icros.2008.14.11.1180,
4,control:2|robotics:2,Intuitive Haptic Control Surface for Mobile Robot Motion Control,2008,"2008 IEEE International Workshop on Safety, Security and Rescue Robotics",10.1109/ssrr.2008.4745888,https://doi.org/10.1109/ssrr.2008.4745888,
